ID	DaylightName	StandardName	RawUtcOffset	DisplayName	SupportsDST
Kaliningrad Standard Time	Kaliningrad Daylight Time	Kaliningrad Standard Time	03:00:00	(UTC+03:00) Kaliningrad, Minsk	True	
Arab Standard Time	Arab Daylight Time	Arab Standard Time	03:00:00	(UTC+03:00) Kuwait, Riyadh	False	
E. Africa Standard Time	E. Africa Daylight Time	E. Africa Standard Time	03:00:00	(UTC+03:00) Nairobi	False	
Iran Standard Time	Iran Daylight Time	Iran Standard Time	03:30:00	(UTC+03:30) Tehran	True	
Arabian Standard Time	Arabian Daylight Time	Arabian Standard Time	04:00:00	(UTC+04:00) Abu Dhabi, Muscat	False	
Azerbaijan Standard Time	Azerbaijan Daylight Time	Azerbaijan Standard Time	04:00:00	(UTC+04:00) Baku	True	
Russian Standard Time	Russian Daylight Time	Russian Standard Time	04:00:00	(UTC+04:00) Moscow, St. Petersburg, Volgograd	True	
Mauritius Standard Time	Mauritius Daylight Time	Mauritius Standard Time	04:00:00	(UTC+04:00) Port Louis	True	
Georgian Standard Time	Georgian Daylight Time	Georgian Standard Time	04:00:00	(UTC+04:00) Tbilisi	False	
Caucasus Standard Time	Caucasus Daylight Time	Caucasus Standard Time	04:00:00	(UTC+04:00) Yerevan	True	
Afghanistan Standard Time	Afghanistan Daylight Time	Afghanistan Standard Time	04:30:00	(UTC+04:30) Kabul	False	
West Asia Standard Time	West Asia Daylight Time	West Asia Standard Time	05:00:00	(UTC+05:00) Ashgabat, Tashkent	False	
Pakistan Standard Time	Pakistan Daylight Time	Pakistan Standard Time	05:00:00	(UTC+05:00) Islamabad, Karachi	True	
India Standard Time	India Daylight Time	India Standard Time	05:30:00	(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi	False	
Sri Lanka Standard Time	Sri Lanka Daylight Time	Sri Lanka Standard Time	05:30:00	(UTC+05:30) Sri Jayawardenepura	False	
Nepal Standard Time	Nepal Daylight Time	Nepal Standard Time	05:45:00	(UTC+05:45) Kathmandu	False	
Central Asia Standard Time	Central Asia Daylight Time	Central Asia Standard Time	06:00:00	(UTC+06:00) Astana	False	
Bangladesh Standard Time	Bangladesh Daylight Time	Bangladesh Standard Time	06:00:00	(UTC+06:00) Dhaka	True	
Ekaterinburg Standard Time	Ekaterinburg Daylight Time	Ekaterinburg Standard Time	06:00:00	(UTC+06:00) Ekaterinburg	True	
Myanmar Standard Time	Myanmar Daylight Time	Myanmar Standard Time	06:30:00	(UTC+06:30) Yangon (Rangoon)	False	
SE Asia Standard Time	SE Asia Daylight Time	SE Asia Standard Time	07:00:00	(UTC+07:00) Bangkok, Hanoi, Jakarta	False	
N. Central Asia Standard Time	N. Central Asia Daylight Time	N. Central Asia Standard Time	07:00:00	(UTC+07:00) Novosibirsk	True	
China Standard Time	China Daylight Time	China Standard Time	08:00:00	(UTC+08:00) Beijing, Chongqing, Hong Kong, Urumqi	False	
North Asia Standard Time	North Asia Daylight Time	North Asia Standard Time	08:00:00	(UTC+08:00) Krasnoyarsk	True	
Singapore Standard Time	Malay Peninsula Daylight Time	Malay Peninsula Standard Time	08:00:00	(UTC+08:00) Kuala Lumpur, Singapore	False	
W. Australia Standard Time	W. Australia Daylight Time	W. Australia Standard Time	08:00:00	(UTC+08:00) Perth	True	
Taipei Standard Time	Taipei Daylight Time	Taipei Standard Time	08:00:00	(UTC+08:00) Taipei	False	
Ulaanbaatar Standard Time	Ulaanbaatar Daylight Time	Ulaanbaatar Standard Time	08:00:00	(UTC+08:00) Ulaanbaatar	False	
North Asia East Standard Time	North Asia East Daylight Time	North Asia East Standard Time	09:00:00	(UTC+09:00) Irkutsk	True	
Tokyo Standard Time	Tokyo Daylight Time	Tokyo Standard Time	09:00:00	(UTC+09:00) Osaka, Sapporo, Tokyo	False	
Korea Standard Time	Korea Daylight Time	Korea Standard Time	09:00:00	(UTC+09:00) Seoul	False	
Cen. Australia Standard Time	Cen. Australia Daylight Time	Cen. Australia Standard Time	09:30:00	(UTC+09:30) Adelaide	True	
AUS Central Standard Time	AUS Central Daylight Time	AUS Central Standard Time	09:30:00	(UTC+09:30) Darwin	False	
E. Australia Standard Time	E. Australia Daylight Time	E. Australia Standard Time	10:00:00	(UTC+10:00) Brisbane	False	
AUS Eastern Standard Time	AUS Eastern Daylight Time	AUS Eastern Standard Time	10:00:00	(UTC+10:00) Canberra, Melbourne, Sydney	True	
West Pacific Standard Time	West Pacific Daylight Time	West Pacific Standard Time	10:00:00	(UTC+10:00) Guam, Port Moresby	False	
Tasmania Standard Time	Tasmania Daylight Time	Tasmania Standard Time	10:00:00	(UTC+10:00) Hobart	True	
Yakutsk Standard Time	Yakutsk Daylight Time	Yakutsk Standard Time	10:00:00	(UTC+10:00) Yakutsk	True	
Central Pacific Standard Time	Central Pacific Daylight Time	Central Pacific Standard Time	11:00:00	(UTC+11:00) Solomon Is., New Caledonia	False	
Vladivostok Standard Time	Vladivostok Daylight Time	Vladivostok Standard Time	11:00:00	(UTC+11:00) Vladivostok	True	
New Zealand Standard Time	New Zealand Daylight Time	New Zealand Standard Time	12:00:00	(UTC+12:00) Auckland, Wellington	True	
UTC+12	UTC+12	UTC+12	12:00:00	(UTC+12:00) Coordinated Universal Time+12	False	
Fiji Standard Time	Fiji Daylight Time	Fiji Standard Time	12:00:00	(UTC+12:00) Fiji	True	
Magadan Standard Time	Magadan Daylight Time	Magadan Standard Time	12:00:00	(UTC+12:00) Magadan	True	
Kamchatka Standard Time	Kamchatka Daylight Time	Kamchatka Standard Time	12:00:00	(UTC+12:00) Petropavlovsk-Kamchatsky - Old	True	
Tonga Standard Time	Tonga Daylight Time	Tonga Standard Time	13:00:00	(UTC+13:00) Nuku'alofa	False	
Samoa Standard Time	Samoa Daylight Time	Samoa Standard Time	13:00:00	(UTC+13:00) Samoa	True	

