ID	DaylightName	StandardName	RawUtcOffset	OffsetSeconds	StandardAbbreviation	Win32Id
437	Australia/Perth Daylight Time	Australia/Perth Standard Time	08:00:00	28800	WST	W. Australia Standard Time
438	America/Mexico_City Daylight Time	America/Mexico_City Standard Time	-06:00:00	-21600	CST	Central Standard Time (Mexico)
442	Asia/Jerusalem Daylight Time	Asia/Jerusalem Standard Time	02:00:00	7200	IST	Israel Standard Time
453	Asia/Calcutta Daylight Time	Asia/Calcutta Standard Time	05:30:00	19800	IST	India Standard Time
464	Pacific/Port_Moresby Daylight Time	Pacific/Port_Moresby Standard Time	10:00:00	36000	PGT	West Pacific Standard Time
477	Australia/Darwin Daylight Time	Australia/Darwin Standard Time	09:30:00	34200	CST	AUS Central Standard Time
483	Asia/Rangoon Daylight Time	Asia/Rangoon Standard Time	06:30:00	23400	MMT	Myanmar Standard Time
485	Pacific/Guadalcanal Daylight Time	Pacific/Guadalcanal Standard Time	11:00:00	39600	SBT	Central Pacific Standard Time
495	Australia/Hobart Daylight Time	Australia/Hobart Standard Time	10:00:00	36000	EST	Tasmania Standard Time
497	Europe/Istanbul Daylight Time	Europe/Istanbul Standard Time	02:00:00	7200	EET	Turkey Standard Time
500	America/Indianapolis Daylight Time	America/Indianapolis Standard Time	-05:00:00	-18000	EST	US Eastern Standard Time
501	America/Santiago Daylight Time	America/Santiago Standard Time	-04:00:00	-14400	CLT	Pacific SA Standard Time
514	Asia/Baku Daylight Time	Asia/Baku Standard Time	04:00:00	14400	AZT	Azerbaijan Standard Time
527	Europe/London Daylight Time	Europe/London Standard Time	00:00:00	0	GMT	GMT Standard Time
539	Europe/Moscow Daylight Time	Europe/Moscow Standard Time	04:00:00	14400	MSK	Russian Standard Time
552	Asia/Karachi Daylight Time	Asia/Karachi Standard Time	05:00:00	18000	PKT	Pakistan Standard Time
564	America/Bahia Daylight Time	America/Bahia Standard Time	-03:00:00	-10800	BRT	Bahia Standard Time
572	Asia/Tashkent Daylight Time	Asia/Tashkent Standard Time	05:00:00	18000	TAST	West Asia Standard Time
573	America/Chihuahua Daylight Time	America/Chihuahua Standard Time	-07:00:00	-25200	MST	Mountain Standard Time (Mexico)
574	Asia/Singapore Daylight Time	Asia/Singapore Standard Time	08:00:00	28800	MALT	Singapore Standard Time

